죄종별(1),죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
죄종별(1),죄종별(2),계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종
죄종별(1),죄종별(2),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
지능범죄,배임,1721,171,3,4,8,55,24,40,37,1550,9,36,24,209,135,228,909,1820,159,6,6,6,57,15,22,47,1661,26,23,37,238,147,218,972
풍속범죄,소계,35770,10474,327,554,583,2063,1511,1452,3984,25296,313,590,599,3047,2728,3335,14684,33117,9252,292,568,579,1830,1166,1304,3513,23865,402,594,654,2680,2417,3072,14046
풍속범죄,성풍속범죄,4388,892,110,137,81,268,105,80,111,3496,70,94,94,553,417,550,1718,6715,1568,157,218,165,437,157,196,238,5147,144,169,188,692,537,710,2707
풍속범죄,도박범죄,31382,9582,217,417,502,1795,1406,1372,3873,21800,243,496,505,2494,2311,2785,12966,26402,7684,135,350,414,1393,1009,1108,3275,18718,258,425,466,1988,1880,2362,11339
특별경제범죄,소계,37610,7868,645,932,575,2514,980,1018,1204,29742,548,967,833,4625,3272,4056,15441,45000,10161,864,1174,887,3186,1171,1326,1553,34839,986,1110,1133,4981,3425,4704,18500
마약범죄,소계,3382,1861,39,59,67,488,358,370,480,1521,23,33,55,249,228,221,712,3395,1867,54,81,62,466,331,381,492,1528,44,44,55,245,212,218,710
보건범죄,소계,10024,3840,117,190,224,1002,617,492,1198,6184,86,135,128,802,640,762,3631,10819,3934,122,197,268,1151,485,481,1230,6885,171,138,201,757,550,857,4211
환경범죄,소계,2029,262,9,20,15,73,31,30,84,1767,16,41,53,218,177,208,1054,2127,300,7,24,17,72,31,49,100,1827,28,36,48,184,139,192,1200
교통범죄,소계,253502,109468,1710,3413,4607,15975,13589,15840,54334,144034,1640,4296,5613,19183,16476,17419,79407,259955,102868,1903,2694,3628,13242,12094,13632,55675,157087,2882,4022,5427,18402,15782,18262,92310
노동범죄,소계,1612,329,9,21,27,102,60,50,60,1283,15,29,39,199,164,176,661,1506,273,8,25,18,87,46,44,45,1233,25,18,31,158,117,177,707
안보범죄,소계,81,21,1,-,-,6,1,-,13,60,1,4,2,14,5,6,28,83,25,2,-,-,9,1,2,11,58,1,-,-,7,3,5,42
선거범죄,소계,174,18,2,-,-,2,3,3,8,156,3,10,5,12,11,15,100,903,89,7,3,-,10,11,11,47,814,23,13,9,69,56,83,561
병역범죄,소계,8792,3274,138,294,325,1314,541,387,275,5518,98,179,211,1236,854,888,2052,10783,3769,148,346,369,1470,583,507,346,7014,238,238,295,1454,959,1149,2681
기타범죄,소계,111959,25964,1214,1944,2004,7031,4205,3891,5675,85995,1419,2475,2662,12238,9546,11552,46103,112974,24905,1190,1909,1998,6844,3622,3723,5619,88069,2104,2715,3055,12355,9025,11608,47207
