죄종별(1),죄종별(2),죄종별(3),2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
죄종별(1),죄종별(2),죄종별(3),계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
죄종별(1),죄종별(2),죄종별(3),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
형법범,기타형법범,공안을 해하는 죄,24,3,1,-,-,1,1,-,-,21,-,-,2,9,1,1,8,11,3,-,-,3,-,-,-,-,8,1,-,1,1,2,2,1,9,1,-,-,-,-,-,1,-,8,1,1,2,3,-,-,1
형법범,기타형법범,폭발물에 관한 죄,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,1
형법범,기타형법범,공무방해에 관한 죄,14908,3419,104,215,240,866,574,440,980,11489,271,497,552,2157,1630,1557,4825,14162,3087,143,201,215,797,511,399,821,11075,279,482,549,2050,1541,1458,4716,12077,2610,114,194,204,582,448,320,748,9467,185,444,491,1645,1302,1235,4165
형법범,기타형법범,도주와 도주원조죄,6,2,1,-,-,1,-,-,-,4,-,-,-,2,-,-,2,10,2,-,1,-,-,-,-,1,8,-,3,-,2,1,1,1,8,-,-,-,-,-,-,-,-,8,-,-,-,4,1,1,2
형법범,기타형법범,범인은닉·범인도피죄,305,43,1,-,-,17,12,6,7,262,4,17,12,44,34,35,116,341,30,3,-,1,8,8,4,6,311,11,15,9,56,44,45,131,304,23,1,3,1,5,2,6,5,281,7,9,13,50,32,43,127
형법범,기타형법범,위증죄,685,27,-,2,1,14,1,3,6,658,4,15,6,98,68,96,371,678,29,2,1,1,5,5,5,10,649,1,14,16,143,63,96,316,564,33,3,1,-,8,4,5,12,531,17,13,10,99,55,61,276
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,12,1,-,-,-,1,-,-,-,11,-,1,1,3,-,-,6,14,2,-,-,-,1,-,-,1,12,-,-,-,3,3,1,5,18,-,-,-,-,-,-,-,-,18,2,1,-,-,2,5,8
형법범,기타형법범,무고의 죄,723,43,1,1,3,18,2,10,8,680,15,21,9,131,80,88,336,776,41,-,2,3,16,4,2,14,735,18,25,21,150,88,83,350,641,47,2,2,1,17,6,8,11,594,25,29,22,126,56,80,256
형법범,기타형법범,신앙에 관한 죄,105,8,1,-,-,6,1,-,-,97,7,2,2,19,6,6,55,107,8,1,1,-,2,2,1,1,99,1,3,1,15,13,8,58,123,12,3,1,-,4,-,1,3,111,5,1,1,15,8,11,70
형법범,기타형법범,실화 및 업무상실화죄,624,15,1,-,2,2,1,-,9,609,13,13,22,79,60,51,371,698,12,3,-,1,3,2,-,3,686,17,21,28,75,66,53,426,629,16,1,-,-,5,4,3,3,613,6,24,24,77,56,61,365
형법범,기타형법범,일수와 수리에 관한 죄,5,-,-,-,-,-,-,-,-,5,-,-,-,1,-,-,4,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,7,-,-,-,1,-,-,6
형법범,기타형법범,교통 방해의 죄,887,116,5,8,7,39,20,7,30,771,14,19,20,123,93,103,399,1045,120,6,13,10,36,19,10,26,925,24,28,35,123,95,125,495,780,85,3,6,5,26,7,13,25,695,23,15,30,110,76,75,366
형법범,기타형법범,음용수에 관한 죄,11,-,-,-,-,-,-,-,-,11,-,2,-,3,2,2,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,6,-,-,1,-,-,1,4
형법범,기타형법범,과실사상의 죄,2295,184,6,9,5,29,26,21,88,2111,38,52,51,229,210,239,1292,2384,176,8,3,9,25,18,23,90,2208,28,76,56,307,216,238,1287,2313,172,9,12,8,21,16,18,88,2141,26,59,47,247,217,226,1319
형법범,기타형법범,낙태의 죄,15,2,-,-,-,-,-,1,1,13,-,-,1,1,1,1,9,10,1,-,-,-,-,1,-,-,9,-,1,-,2,1,1,4,22,6,-,-,-,3,1,-,2,16,-,1,-,2,2,4,7
형법범,기타형법범,유기의 죄,32,3,1,1,-,1,-,-,-,29,-,-,-,6,6,2,15,33,2,-,-,-,-,-,-,2,31,-,2,-,6,2,3,18,26,1,-,-,1,-,-,-,-,25,2,-,-,1,1,2,19
형법범,기타형법범,명예에 관한 죄,5598,394,20,35,27,135,47,54,76,5204,116,164,178,920,611,684,2531,6719,462,36,35,46,150,60,45,90,6257,172,201,233,1218,782,819,2832,6132,536,35,52,52,132,75,60,130,5596,125,231,225,1005,678,705,2627
형법범,기타형법범,신용·업무와 경매에 관한 죄,12901,2698,212,257,240,812,355,330,492,10203,258,428,484,1913,1337,1341,4442,14632,3115,279,287,288,937,415,386,523,11517,364,499,516,2164,1458,1506,5010,11815,2671,201,359,240,734,344,331,462,9144,243,466,451,1604,1170,1179,4031
형법범,기타형법범,비밀침해죄,6,1,-,-,-,-,-,-,1,5,-,-,-,-,1,1,3,8,-,-,-,-,-,-,-,-,8,-,1,1,-,-,1,5,4,-,-,-,-,-,-,-,-,4,1,-,-,-,-,1,2
형법범,기타형법범,주거침입의 죄,3546,524,29,48,44,138,75,64,126,3022,116,160,155,546,402,373,1270,3712,544,50,51,54,146,68,56,119,3168,118,152,168,555,409,377,1389,3329,476,30,47,34,115,68,51,131,2853,88,180,163,487,373,351,1211
형법범,기타형법범,권리행사를 방해하는 죄,1282,48,2,2,1,14,9,4,16,1234,24,29,51,221,152,170,587,1478,46,4,2,2,27,1,2,8,1432,27,26,43,279,172,174,711,1049,58,7,1,7,15,3,9,16,991,29,25,38,194,98,141,466
형법범,기타형법범,인질강요,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,인질상해(치상),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
형법범,기타형법범,인질살해(치사),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
형법범,기타형법범,기타,215,16,-,-,2,4,3,5,2,199,3,3,2,21,22,20,128,9,5,-,-,1,1,-,1,2,4,-,-,1,-,1,-,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
특별법범,소계,소계,653422,247994,8067,14024,15562,57921,34666,32051,85703,405428,7140,15221,15322,66742,47364,50247,203392,575234,206607,6662,11565,13341,49844,29144,25972,70079,368627,6524,12953,14870,59857,42197,45679,186547,463715,181328,4016,9404,10650,35568,25393,24771,71526,282387,4503,9198,10845,41518,32375,34327,149621
