죄종별(1),죄종별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
죄종별(1),죄종별(2),계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종,계,동종,동종,동종,동종,동종,동종,동종,동종,이종,이종,이종,이종,이종,이종,이종,이종
죄종별(1),죄종별(2),계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
강력범죄,방화,961,89,7,4,5,25,6,15,27,872,24,43,56,147,84,99,419,1003,80,8,6,8,19,9,11,19,923,26,32,40,170,92,104,459,1075,69,4,6,9,16,8,14,12,1006,30,42,43,160,106,111,514,935,83,1,4,6,20,12,14,26,852,18,31,52,140,91,99,421,858,81,3,8,8,16,12,11,23,777,29,41,43,118,99,89,358
절도범죄,소계,59482,25814,3105,3356,2767,7056,2961,2929,3640,33668,1977,2479,2498,5883,3358,3762,13711,53016,22254,2309,2770,2398,6066,2615,2423,3673,30762,1575,2012,2042,5281,3154,3106,13592,57047,23998,2588,2934,2544,6184,2907,2636,4205,33049,1587,2058,2040,5552,3361,3343,15108,59090,24641,2719,2969,2594,6495,3002,2577,4285,34449,1566,2059,1988,5603,3511,3360,16362,59461,24649,2522,2871,2623,6624,3145,2583,4281,34812,1305,1876,2037,5688,3568,3546,16792
폭력범죄,소계,196358,62638,2079,3886,4323,13249,8679,9303,21119,133720,2855,4663,5680,19267,14998,18258,67999,180715,55006,1747,3271,4109,11774,8174,7113,18818,125709,2536,3968,5640,18629,14894,14860,65182,182188,49736,1625,3215,3485,10678,6876,6637,17220,132452,2366,4475,5774,19714,15717,15529,68877,182236,46902,1664,3100,3378,10315,6564,6078,15803,135334,2568,4670,5873,20237,15906,16107,69973,170648,45120,1626,3134,3356,10122,6248,5770,14864,125528,2039,4436,5646,19426,14608,14807,64566
폭력범죄,상해,52622,17791,478,948,1162,3490,2528,2680,6505,34831,603,1051,1351,4667,3787,4636,18736,45878,15292,367,756,998,3067,2244,2016,5844,30586,474,868,1184,4236,3489,3514,16821,41842,12976,337,694,805,2549,1798,1735,5058,28866,463,881,1076,3977,3391,3311,15767,44716,13497,408,720,831,2819,1901,1792,5026,31219,519,964,1269,4476,3675,3611,16705,39709,12302,342,722,805,2591,1675,1601,4566,27407,383,862,1095,4046,3225,3200,14596
폭력범죄,폭행,67253,22620,668,1318,1525,4704,3047,3471,7887,44633,845,1430,1825,6042,4864,6191,23436,64896,20724,651,1250,1517,4306,3089,2712,7199,44172,810,1248,1866,6176,5163,5235,23674,72047,20175,611,1262,1422,4260,2787,2709,7124,51872,846,1584,2134,7240,5976,6052,28040,82208,21979,704,1416,1599,4611,3081,2860,7708,60229,945,1937,2578,8516,7027,7214,32012,78850,22093,707,1466,1576,4873,3101,2785,7585,56757,762,1806,2438,8314,6450,6770,30217
폭력범죄,체포·감금,513,67,6,6,8,18,7,9,13,446,13,24,22,79,39,55,214,459,52,1,3,1,17,7,8,15,407,11,16,22,73,52,58,175,539,57,4,5,2,17,6,9,14,482,8,15,27,88,47,67,230,844,99,5,6,10,27,16,11,24,745,21,34,38,154,105,88,305,894,126,7,15,7,36,19,17,25,768,13,40,42,151,89,94,339
폭력범죄,협박,2147,283,17,21,31,76,29,38,71,1864,56,94,94,298,209,242,871,2212,256,14,20,20,81,28,27,66,1956,53,85,99,364,226,214,915,4553,586,44,64,54,143,78,62,141,3967,80,172,202,597,460,487,1969,9494,1164,66,111,101,304,157,142,283,8330,163,290,379,1224,883,960,4431,9076,1169,79,92,99,298,160,137,304,7907,156,279,337,1203,843,896,4193
폭력범죄,약취·유인,117,21,2,4,2,2,3,5,3,96,3,5,2,17,8,15,46,123,16,-,4,1,6,2,3,-,107,3,6,3,19,8,6,62,112,24,1,1,2,6,2,3,9,88,-,5,8,26,7,13,29,135,19,1,3,-,5,1,3,6,116,1,8,7,24,13,16,47,126,18,-,-,1,3,4,5,5,108,2,8,8,25,10,7,48
폭력범죄,폭력행위등,51986,17937,690,1246,1255,4019,2497,2531,5699,34049,873,1345,1604,5429,4024,4725,16049,45358,14944,506,922,1179,3325,2272,1924,4816,30414,750,1092,1582,4938,3805,3686,14561,41346,12757,433,898,913,2925,1755,1742,4091,28589,572,1108,1429,4728,3605,3414,13733,20737,6665,266,517,531,1650,931,840,1930,14072,407,653,697,2547,1855,1732,6181,18276,5865,261,500,558,1409,787,753,1597,12411,326,658,737,2366,1654,1523,5147
폭력범죄,공갈,1833,497,48,73,64,147,47,63,55,1336,76,110,98,337,166,141,408,2211,583,53,71,83,186,74,62,54,1628,86,110,120,359,181,194,578,1580,344,40,47,38,98,34,39,48,1236,55,78,110,306,142,136,409,2000,469,45,75,53,157,36,44,59,1531,89,113,105,396,162,201,465,1872,486,64,74,51,154,48,48,47,1386,68,114,121,338,156,142,447
